Mod:Item:MetaData, Localized Name
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:decorativesolid:7, Quartzburnt
extrautils2:decorativesolid:8, Rainbow Stone
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:quarryproxy, Quantum Quarry Actuator
extrautils2:quarry, Quantum Quarry
extrautils2:spike_wood, Wooden Spikes
extrautils2:spike_stone, Stone Spikes
extrautils2:spike_iron, Iron Spikes
extrautils2:spike_gold, Golden Spikes
extrautils2:spike_diamond, Diamond Spikes
extrautils2:spike_creative, Creative Spikes
extrautils2:redstonelantern, Redstone Lantern
extrautils2:largishchest, Slightly-Larger Chest
extrautils2:minichest, Mini Chest
extrautils2:rainbowgenerator:0, Rainbow Generator!
extrautils2:rainbowgenerator:1, Rainbow Generator (bottom half)
extrautils2:rainbowgenerator:2, Rainbow Generator (top half)
extrautils2:magicapple, Magical Apple
extrautils2:simpledecorative:0, Block of Enchanted Metal
extrautils2:simpledecorative:1, Block of Demon Metal
extrautils2:simpledecorative:2, Block of Evil Infused Iron
extrautils2:creativechest, Creative Chest
extrautils2:creativeenergy, Creative Energy Source
extrautils2:creativeharvest, Creative Harvest
extrautils2:trowel, Trowel
extrautils2:biomemarker, Biome Marker
extrautils2:terraformer:0, Terraformer
extrautils2:terraformer:1, Antenna
extrautils2:terraformer:2, Humidifier
extrautils2:terraformer:3, Dehumidifier
extrautils2:terraformer:4, Heater
extrautils2:terraformer:5, Cooler
extrautils2:terraformer:6, Dehostilifier
extrautils2:terraformer:7, Magic Absorbtion
extrautils2:terraformer:8, Magic Infuser
extrautils2:terraformer:9, Climograph Base Unit
extrautils2:trashchest, Trash Chest
extrautils2:opinium:0, Opinium Core (Pathetic)
extrautils2:opinium:1, Opinium Core (Mediocre)
extrautils2:opinium:2, Opinium Core (Passable)
extrautils2:opinium:3, Opinium Core (Decent)
extrautils2:opinium:4, Opinium Core (Good)
extrautils2:opinium:5, Opinium Core (Damn Good)
extrautils2:opinium:6, Opinium Core (Amazing)
extrautils2:opinium:7, Opinium Core (Inspiring)
extrautils2:opinium:8, Opinium Core (Perfected)
extrautils2:lawsword, Kikoku
extrautils2:flattransfernode:0, Flat Transfer Node (Items)
extrautils2:flattransfernode:1, Flat Transfer Node (Fluids)
extrautils2:analogcrafter, Analog Crafter
extrautils2:decorativebedrock:0, Bedrock Bricks
extrautils2:decorativebedrock:1, Bedrock Slabs
extrautils2:decorativebedrock:2, Bedrock Cobblestone
extrautils2:compoundbow, Compound Bow
extrautils2:fireaxe, Fire Axe
extrautils2:interactionproxy, Ender Porcupine
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:ironwood_leaves:0, Ferrous-Juniper Leaves
extrautils2:ironwood_leaves:1, Burnt Ferrous-Juniper Leaves
extrautils2:ironwood_log:0, Ferrous-Juniper Log
extrautils2:ironwood_log:1, Ferrous-Juniper Log
extrautils2:ironwood_sapling:0, Ferrous-Juniper Sapling
extrautils2:ironwood_sapling:1, Dead Ferrous-Juniper Sapling
extrautils2:ironwood_planks:0, Ferrous-Juniper Planks
extrautils2:ironwood_planks:1, Raw Ferrous-Juniper Planks
hbm:redstone_sword, Redstone Sword
hbm:big_sword, Great Sword
hbm:dosimeter, Dosimeter
hbm:geiger_counter, Handheld Geiger Counter
hbm:digamma_diagnostic, Digamma Diagnostic
hbm:lung_diagnostic, Lung Diagnostic
hbm:syringe_empty, Empty Syringe
hbm:syringe_awesome, AWESOME
hbm:syringe_antidote, Antidote
hbm:syringe_metal_empty, Metal Syringe
hbm:syringe_poison, Poisonous Injection
hbm:syringe_metal_medx, Med-X
hbm:syringe_metal_psycho, Psycho
hbm:syringe_metal_super, Super Stimpak
hbm:syringe_taint, Watery Taint Injection
hbm:syringe_mkunicorn, MKUNICORN
hbm:syringe_metal_stimpak, Stimpak
hbm:med_bag, Doctor's Bag
hbm:radaway, RadAway
hbm:radaway_strong, Strong RadAway
hbm:radaway_flush, Elite RadAway
hbm:radx, Rad-X
hbm:siox, SiOX Cancer Medication
hbm:xanax, NAXA Anti-Digamma Medication
hbm:fmn, Flunitrazepam Tablet
hbm:five_htp, Enteramine Pills
hbm:pill_iodine, Iodine Pill
hbm:plan_c, Plan C
hbm:stealth_boy, Stealth Device
hbm:gas_mask_filter, Gas Mask Filter
hbm:jetpack_tank, Jetpack Reserve Fuel Tank
hbm:gun_kit_1, Gun Oil
hbm:gun_kit_2, Gun Repair Kit
hbm:euphemium_kit, Euphemium Kit
hbm:cbt_device, CBT Device
hbm:attachment_mask, Gas Mask Attachable
hbm:attachment_mask_mono, Carbon Monoxide Mask Attachable
hbm:back_tesla, Back-Mounted Tesla Coil
hbm:pads_rubber, Rubber Pads
hbm:pads_slime, Slime Pads
hbm:pads_static, Static Pads
hbm:cladding_paint, Lead Paint
hbm:cladding_rubber, Rubber Cladding
hbm:cladding_lead, Lead Cladding
hbm:cladding_desh, Desh Cladding
hbm:cladding_paa, PaA Alloy Cladding
hbm:cladding_ghiorsium, Ghiorsium Cladding
hbm:cladding_di, Dineutronium Cladding
hbm:cladding_electronium, Electronium Cladding
hbm:cladding_iron, Iron Cladding
hbm:cladding_obsidian, Obsidian Skin
hbm:insert_kevlar, Kevlar Insert
hbm:insert_sapi, SAPI Insert
hbm:insert_esapi, ESAPI Insert
hbm:insert_xsapi, XSAPI Insert
hbm:insert_steel, Heavy Steel Insert
hbm:insert_du, DU Insert
hbm:insert_polonium, Polonium Insert
hbm:insert_ghiorsium, Ghiorsium Insert
hbm:insert_era, Explosive Reactive Armor Insert
hbm:insert_di, Dineutronium Insert
hbm:insert_yharonite, Yharonite Insert
hbm:insert_doxium, Astolfium-Doped Doxium Insert
hbm:armor_polish, ShiningArmor™ Armor Polish
hbm:bandaid, Velvet Band-Aid
hbm:serum, Serum
hbm:quartz_plutonium, Plutonic Quartz
hbm:morning_glory, Morning Glory
hbm:lodestone, Lodestone
hbm:horseshoe_magnet, Horseshoe Magnet
hbm:industrial_magnet, Industrial Magnet
hbm:bathwater, Toxic Soapy Water
hbm:bathwater_mk2, Toxic Soapy Water (Horse Scented)
hbm:bathwater_mk3, Finest Chernobyl Bath Water (Meltdown Scented)
hbm:spider_milk, Bottle of Spider Milk
hbm:ink, 林— Ink
hbm:heart_piece, Heart Piece
hbm:heart_container, Heart Container
hbm:heart_booster, Heart Booster
hbm:heart_fab, Fab Heart
hbm:black_diamond, Black Diamond
hbm:wd40, VT-40
hbm:scrumpy, Bottle of Scrumpy
hbm:wild_p, Wild Pegasus Dry Whiskey
hbm:fabsols_vodka, Fabsol's Vodka
hbm:shackles, Shackles
hbm:injector_5htp, 5-HTP Autoinjector
hbm:injector_knife, 8 Inch Blade Autoinjector
hbm:decontamination_module, Decontamination Module
hbm:medal_liquidator, Liquidator Medal
hbm:medal_ghoul, Certified Ghoul
hbm:servo_set, Servo Set
hbm:servo_set_desh, Desh Servo Set
hbm:v1, V1
hbm:factory_core_titanium, Basic Factory Energy Cluster
hbm:factory_core_advanced, Advanced Factory Energy Cluster
hbm:dynosphere_base, Blank Dynosphere (SOON-TO-BE DEPRECATED)
hbm:dynosphere_desh, Desh Dynosphere(SOON-TO-BE DEPRECATED)
hbm:dynosphere_desh_charged, Desh Dynosphere (Charged)(SOON-TO-BE DEPRECATED)
hbm:dynosphere_schrabidium, Schrabidium Dynosphere(SOON-TO-BE DEPRECATED)
hbm:dynosphere_schrabidium_charged, Schrabidium Dynosphere (Charged)(SOON-TO-BE DEPRECATED)
hbm:dynosphere_euphemium, Euphemium Dynosphere(SOON-TO-BE DEPRECATED)
hbm:dynosphere_euphemium_charged, Euphemium Dynosphere (Charged)(SOON-TO-BE DEPRECATED)
hbm:dynosphere_dineutronium, Dineutronium Dynosphere(SOON-TO-BE DEPRECATED)
hbm:dynosphere_dineutronium_charged, Dineutronium Dynosphere (Charged)(SOON-TO-BE DEPRECATED)
hbm:hev_battery, Suit Battery
hbm:fusion_core, Fusion Core
hbm:energy_core, Makeshift Energy Core
hbm:battery_generic, Battery
hbm:battery_advanced, Advanced Battery
hbm:battery_lithium, Lithium-Ion Battery
hbm:battery_schrabidium, Schrabidium Battery
hbm:battery_spark, Spark Battery
hbm:battery_trixite, Off-Brand Spark Battery
hbm:battery_sc_uranium, Self-Charging Uranium-238 Battery
hbm:battery_sc_technetium, Self-Charging Technetium-99 Battery
hbm:battery_sc_plutonium, Self-Charging Plutonium-238 Battery
hbm:battery_sc_polonium, Self-Charging Polonium-210 Battery
hbm:battery_sc_gold, Self-Charging Gold-198 Battery
hbm:battery_sc_lead, Self-Charging Lead-209 Battery
hbm:battery_sc_americium, Self-Charging Americium-241 Battery
hbm:battery_sc_balefire, Self-Charging Balefire-XXX Battery
hbm:battery_creative, Infinite Battery
hbm:battery_red_cell, Redstone Power Cell
hbm:battery_red_cell_6, Sixfold Redstone Power Cell
hbm:battery_red_cell_24, 24-Fold Redstone Power Cell
hbm:battery_advanced_cell, Advanced Power Cell
hbm:battery_advanced_cell_4, Quadruple Advanced Power Cell
hbm:battery_advanced_cell_12, Twelvefold Advanced Power Cell
hbm:battery_lithium_cell, Lithium-Ion Power Cell
hbm:battery_lithium_cell_3, Tripple Lithium-Ion Power Cell
hbm:battery_lithium_cell_6, Sixfold Lithium-Ion Power Cell
hbm:battery_schrabidium_cell, Schrabidium Power Cell
hbm:battery_schrabidium_cell_2, Double Schrabidium Power Cell
hbm:battery_schrabidium_cell_4, Quadruple Schrabidium Power Cell
hbm:battery_spark_cell_6, Spark Power Cell
hbm:battery_spark_cell_25, Spark Arcane Car Battery
hbm:battery_spark_cell_100, Spark Arcane Energy Storage Array
hbm:battery_spark_cell_1000, Spark Arcane Mass-Energy Void
hbm:battery_spark_cell_2500, Spark Arcane Dirac Sea
hbm:battery_spark_cell_10000, Spark Solid Space-Time Crystal
hbm:battery_spark_cell_power, Spark Ludicrous Physics-Defying Energy Storage Unit
hbm:battery_potato, Potato Battery
hbm:battery_potatos, PotatOS
hbm:battery_su, SU-Battery
hbm:battery_su_l, Large SU-Battery
hbm:battery_steam, Steam Powered Energy Storage Tank
hbm:battery_steam_large, Large Steam Powered Energy Storage Tank
hbm:fuse, Fuse
hbm:screwdriver, Screwdriver
hbm:hand_drill, Hand Drill
hbm:redcoil_capacitor, Redcoil Capacitor
hbm:titanium_filter, Titanium Filter
hbm:arc_electrode, Graphite Electrode
hbm:arc_electrode_burnt, Molten Electrode
hbm:arc_electrode_desh, Desh Electrode
hbm:particle_empty, Empty Particle Capsule
hbm:particle_hydrogen, Hydrogen Ion Capsule
hbm:particle_copper, Copper Ion Capsule
hbm:particle_lead, Lead Ion Capsule
hbm:particle_aproton, Antiproton Capsule
hbm:particle_aelectron, Positron Capsule
hbm:particle_amat, Antimatter Capsule
hbm:particle_aschrab, Antischrabidium Capsule
hbm:particle_higgs, Higgs Boson Capsule
hbm:particle_muon, Muon Capsule
hbm:particle_tachyon, Tachyon Capsule
hbm:particle_strange, Strange Quark Capsule
hbm:particle_dark, Dark Matter Capsule
hbm:particle_sparkticle, Sparkticle Capsule
hbm:particle_digamma, §cThe Digamma Particle§r
hbm:singularity, Singularity
hbm:singularity_counter_resonant, Contained Counter-Resonant Singularity
hbm:singularity_super_heated, Superheated Resonating Singularity
hbm:black_hole, Miniature Black Hole
hbm:singularity_spark, Spark Singularity
hbm:pellet_antimatter, Antimatter Cluster
hbm:crystal_xen, Artificial Xen Crystal
hbm:overfuse, Singularity Screwdriver
hbm:piston_selenium, Radial Engine Piston
hbm:crystal_energy, Energy Crystal
hbm:pellet_coolant, Coolant Cluster
hbm:canister_fuel, Diesel Canister
hbm:canister_napalm, Napalm B
hbm:fluid_tank_full:0, Empty Universal Fluid Tank
hbm:fluid_tank_full:0, Universal Fluid Tank: Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Lava
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Iron
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Gold
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Pigiron
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Cobalt
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Ardite
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Manyullyn
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Knightslime
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Aluminum Brass
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Brass
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Copper
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Tin
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Bronze
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Zinc
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Lead
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Nickel
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Silver
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Electrum
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Steel
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Aluminum
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Hydrogen
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Oxygen
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Chlorine
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Sulfur Dioxide
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Sulfur Trioxide
hbm:fluid_tank_full:0, Universal Fluid Tank: Sulfuric Acid
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Hydrogen Chloride
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Ethylene
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Sodium
hbm:fluid_tank_full:0, Universal Fluid Tank: Brine
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Deuterium
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Tritium
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid D-T Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Lithium
hbm:fluid_tank_full:0, Universal Fluid Tank: Heavy Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Creosote Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquifacted Coal
hbm:fluid_tank_full:0, Universal Fluid Tank: Crude Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Naphtha
hbm:fluid_tank_full:0, Universal Fluid Tank: Refined Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Sap
hbm:fluid_tank_full:0, Universal Fluid Tank: Syrup
hbm:fluid_tank_full:0, Universal Fluid Tank: Resin
hbm:fluid_tank_full:0, Universal Fluid Tank: Tree Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Seed Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Biocrude
hbm:fluid_tank_full:0, Universal Fluid Tank: Grassoline
hbm:fluid_tank_full:0, Universal Fluid Tank: Mushroom Stew
hbm:fluid_tank_full:0, Universal Fluid Tank: Essence of Knowledge
hbm:fluid_tank_full:0, Universal Fluid Tank: Potion
hbm:fluid_tank_full:0, Universal Fluid Tank: Splash Potion
hbm:fluid_tank_full:0, Universal Fluid Tank: Lingering Potion
hbm:fluid_tank_full:0, Universal Fluid Tank: Destabilized Redstone
hbm:fluid_tank_full:0, Universal Fluid Tank: Energized Glowstone
hbm:fluid_tank_full:0, Universal Fluid Tank: Resonant Ender
hbm:fluid_tank_full:0, Universal Fluid Tank: Blazing Pyrotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Gelid Cryotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Zephyrean Aerotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Tectonic Petrotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Primal Mana
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Platinum
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Iridium
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Invar
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Constantan
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Signalum
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Lumium
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Enderium
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Electrical Steel
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Energetic Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Vibrant Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Redstone Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Conductive Iron
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Pulsating Iron
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Dark Steel
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Soularium
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten End Steel
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Iron Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Crude Steel
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Crystalline Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Melodic Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Stellar Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Crystalline Pink Slime
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Energetic Silver
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Vivid Alloy
hbm:fluid_tank_full:0, Universal Fluid Tank: Quicksand
hbm:fluid_tank_full:0, Universal Fluid Tank: Honey
hbm:fluid_tank_full:0, Universal Fluid Tank: Blood
hbm:fluid_tank_full:0, Universal Fluid Tank: Poison
hbm:fluid_tank_full:0, Universal Fluid Tank: Hot Spring Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Springwater
hbm:fluid_tank_full:0, Universal Fluid Tank: Purified Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Evil Infused Iron
hbm:fluid_tank_full:0, Universal Fluid Tank: Enchanted Metal
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Demon Metal
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Super Dense Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Ultra Dense Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Coolant
hbm:fluid_tank_full:0, Universal Fluid Tank: Deuterium
hbm:fluid_tank_full:0, Universal Fluid Tank: Tritium
hbm:fluid_tank_full:0, Universal Fluid Tank: Crude Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Hot Crude Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Heavy Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Bitumen
hbm:fluid_tank_full:0, Universal Fluid Tank: Industrial Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Heating Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Reclaimed Industrial Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Petroil
hbm:fluid_tank_full:0, Universal Fluid Tank: Engine Lubricant
hbm:fluid_tank_full:0, Universal Fluid Tank: Naphtha
hbm:fluid_tank_full:0, Universal Fluid Tank: Diesel
hbm:fluid_tank_full:0, Universal Fluid Tank: Light Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Kerosene
hbm:fluid_tank_full:0, Universal Fluid Tank: Natural Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Petroleum Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Biogas
hbm:fluid_tank_full:0, Universal Fluid Tank: Biofuel
hbm:fluid_tank_full:0, Universal Fluid Tank: NITAN© 100 Octane Super Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Uranium Hexafluoride
hbm:fluid_tank_full:0, Universal Fluid Tank: Plutonium Hexafluoride
hbm:fluid_tank_full:0, Universal Fluid Tank: Schrabidium Trisulfide
hbm:fluid_tank_full:0, Universal Fluid Tank: Antimatter
hbm:fluid_tank_full:0, Universal Fluid Tank: Antischrabidium
hbm:fluid_tank_full:0, Universal Fluid Tank: Hydrogen Peroxide
hbm:fluid_tank_full:0, Universal Fluid Tank: Poisonous Mud
hbm:fluid_tank_full:0, Universal Fluid Tank: Cryogel
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Hydrogen
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Oxygen
hbm:fluid_tank_full:0, Universal Fluid Tank: Xenon Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: BF Rocket Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Mercury
hbm:fluid_tank_full:0, Universal Fluid Tank: Deuterium-Tritium Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Hydrogen-Deuterium Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Hydrogen-Tritium Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Xenon-Mercury Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Balefire Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Pandemonium(III)tantalite Solution
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Nuclear Waste
hbm:fluid_tank_full:0, Universal Fluid Tank: Gaseous Nuclear Waste
hbm:fluid_tank_full:0, Universal Fluid Tank: Leaded Gasoline
hbm:fluid_tank_full:0, Universal Fluid Tank: Low-Pressure Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Stereotypical Green Ooze
hbm:fluid_tank_full:0, Universal Fluid Tank: Radiated Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Poisonous Mud
hbm:fluid_tank_full:0, Universal Fluid Tank: Schrabidic Acid
hbm:fluid_tank_full:0, Universal Fluid Tank: Corium
hbm:fluid_tank_full:0, Universal Fluid Tank: Volcanic Lava
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Mithril
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Refined Obsidian
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Refined Glowstone
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Osmium
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Manasteel
